ss1,ss2,ss3,ss4,ss5,ss6,ss7,ss8,ss9,ss10,ss11,ss12,ss13,ss14,ss15,ss16,ss17,ss18,ss19,ss20
0.0060338752557780664,0.14631959704820877,0.05039908297152749,0.03479708304598083,0.03802400471985748,0.010534936267429905,0.0013408751948618372,0.031016067073277486,0.03257477190325328,0.11104725856791005,0.07350114118504834,0.06676115388091758,0.04439455077061065,0.07286763694598639,0.0868711613517733,0.07151443498597448,0.020578859740491947,0.04306976070407262,0.13104412108577382,0.01802367321786351
0.03516530568505935,0.1591678619596069,0.14049012785833187,0.0174453160056226,0.07624667732453538,0.023147415021764,0.04037491054883206,0.01058408994945946,0.052554556175645764,0.0631545179340711,0.03012729458222726,0.01592076262802049,0.06267438816234008,0.11589610819698193,0.13180521911073775,0.040628199248581943,0.15435406370753366,0.010131170175266938,0.018107079155123898,0.04301029973605504
0.0019000991740488016,0.12923283297556848,0.10320967247558013,0.0658215478582266,0.08486677820207443,0.018450180235056,0.10450414107300832,0.0007305832860123016,0.008261282133839778,0.031575473537809984,0.06525899120790482,0.09073721476658811,0.008621513431539038,0.04165516567502547,0.03353946612034479,0.061618833672607086,0.07788908800018349,0.016627511970884794,0.02133311178762093,0.24328208523395345
0.0991383180777387,0.09585058010038885,0.026985989777772026,0.0877869534316218,0.0422313946367761,0.021811157017819115,0.10200272165602414,0.10503117985967032,0.007216248877023957,0.07429068928176001,0.08858483071969736,0.011067260262478689,0.0492815776333384,0.02612255512272026,0.17778686731358598,0.022266526077193118,0.128660277000822,0.05286189644155946,0.010113533963804513,0.0023571272315885774
0.0017427001515712365,0.026408457431385403,0.06789866954610804,0.05864042144319246,0.08947370438208413,0.052905341070422725,0.05866684300164422,0.018151833688841382,0.17860858639753371,0.09448466003548113,0.12777145876963572,0.06756813771572102,0.05900255447965861,0.09156612608351708,0.04220528779048933,0.10384116558168463,0.01270241600708036,0.11574114759239258,0.1826279215020013,0.08372137723514508
0.01275394030035534,0.07171851920159598,0.045916410591188964,0.01829410969769974,0.04559728994755563,0.017535594361865508,0.1148657708251049,0.00885568581856284,0.05708463474995722,0.027056775570114346,0.06580727603100368,0.043285469983996044,0.015393645036796032,0.04473856518231994,0.08479755335532259,0.05947903515960198,0.017830121855098063,0.08029229341575825,0.15782136248029124,0.08795989020063333
0.062044318216844474,0.011097678470871541,0.033737954621117186,0.06141509829321595,0.056605711418074675,0.07703661466860973,0.11837466609670733,0.07081270247249805,0.024593976714589242,0.010551414448571153,0.0949709253199926,0.03553890549040605,0.02430180011610063,0.016565015086057074,0.09250806134841608,0.23385640317314807,0.16922752741229288,0.012530112483434814,0.060594937220426956,0.07377391556772561
0.05118036070246229,0.10867929702268042,0.07204469213207096,0.0012966876603173318,0.0380859190662195,0.08710137689736137,0.018885569659524117,0.01918700239786307,0.05978459285231381,0.04744096024876263,0.08336398193011085,0.030185628231026704,0.06384832450128745,0.06486100351931964,0.19634128600652978,0.05988150597695161,0.19574946273333313,0.045373725246849746,0.015040138661626313,0.03956600573489701
0.07012401478792002,0.15532919110826016,0.1418959539373661,0.025787230612016876,0.006284616364743796,0.004840566944569888,0.08893403978985116,0.03071600552497874,0.03833549237166811,0.031475465465795965,0.07839338032813838,0.05593007987761126,0.013895467702908691,0.029450666199710405,0.06577150422107601,0.003109000031787755,0.046467138861014175,0.06677404585196818,0.1951280957359489,0.03859269919990609
0.03915934603758585,0.13064175937260594,0.07620854737442574,0.10066324496157343,0.038414420953677926,0.13580483943555272,0.1518840385350965,0.05625007321853344,0.07512209877668943,0.06710759110501824,0.038467881725182604,0.050634351613717814,0.012704061387320937,0.07033120611496406,0.18388812899205725,0.004476640446331761,0.15801845144193574,0.04292591233097836,0.03987694105092846,0.019207622189252295
0.03297310078807338,0.023801555126736654,0.03380965069482853,0.038391313268678104,0.06968966629266747,0.035468767226735726,0.09441789648057146,0.08025926576328482,0.007241278514892154,0.03211597729161586,0.061848442510609385,0.011321364058942665,0.023886802836428946,0.10039320636837386,0.19910904796854492,0.008491867727005957,0.08865854671688389,0.06837535078072898,0.09440606338944431,0.07700320055482435
0.016703387843888293,0.1905527651163248,0.027649955736957617,0.045187677632891186,0.013770705575082474,0.04721522541152438,0.06115737821632648,0.020133839987834592,0.19695893555735916,0.02104497458407459,0.05423207005248993,0.00428449122695876,0.007333305445684861,0.06751310645149552,0.05517843575896481,0.17259489355371474,0.008265811259158755,0.007133666185022053,0.1660255817622677,0.10205857563327714
0.03376959195459476,0.0037493609844877307,0.08347587580554482,0.06499639281043851,0.06533390519084269,0.014456235594348988,0.12025968389777725,0.08629750674188655,0.025203074429991413,0.04167774693684895,0.0946598184342506,0.015256280769444432,0.0727861218412431,0.04733932748380487,0.017640062863601428,0.01692893081186848,0.2319016508267672,0.03951234435459911,0.0481615714504796,0.03244976661075073
0.014176647840064276,0.10875379079783284,0.01372836522297409,0.12816641784759772,0.046136602583474094,0.035948463977584784,0.09199157956860028,0.046371895729002695,0.06498747379631621,0.07615483944983867,0.0842332545069744,0.012742101141051548,0.004910421932867288,0.04065626468543961,0.12624197775570542,0.048307529976133606,0.27596312732768613,0.010906629479015188,0.03944864488821516,0.003996327796089161
0.045642362560859774,0.15681652818940792,0.11693040227793096,0.09213523578356952,0.09060057232656116,0.002154217294230363,0.08268763174890352,0.14127783856440937,0.019874389898259313,0.02931809456087855,0.0742504610681875,0.015761679376100332,0.04990888527201416,0.22848127080617062,0.05872575184144428,0.007588892975360539,0.03683358437995266,0.09989571301982722,0.01568097859676264,0.03733778822296687
0.003376643828136233,0.18594152924350557,0.12331041038391088,0.00943490530022755,0.09403799279355139,0.023231079335369203,0.10689927323158616,0.16485179887806478,0.053812709795491,0.060016794768371205,0.058904045424150044,0.023744729802045325,0.018955638555732644,0.1012989378996082,0.03787496774209576,0.030168957413880853,0.18098655313500217,0.06356357829446532,0.07872794069609908,0.04716991179202662
0.004852459072234781,0.07039997285276167,0.12235886539523506,0.01132975651380364,0.0902745758460095,0.03916475775208695,0.0618278498459551,0.028359051389939733,0.07934722011106313,0.005453784544064256,0.15682733589473807,0.11130539222863935,0.08045352324117899,0.15274171746260076,0.15399496892737308,0.015338975033549366,0.030377907969126837,0.033772061967983505,0.08032965413622391,0.019129400467088175
