ss1,ss2,ss3,ss4
0.0029811687212643093,0.009601349033861145,0.017300507831806925,0.009928525038939918
0.0098997170455436,0.017818659719093088,0.0014281159617453622,0.012871891511294526
0.018858667407954874,0.025303582187594684,0.01564461335043666,0.014553178491353343
0.002869654327788178,0.012881257036577306,0.009519540507395589,0.001550248021059561
0.002430921661383653,0.013485461585016888,0.0037731497737219935,0.014042988323175347
0.004445822074801926,0.016785380631879322,0.0038526997085068368,0.002251749143611925
0.005370126572152126,0.006090611896991865,0.01144259060136116,0.0060041600537051095
0.0015972109764655264,0.009897785607555424,0.008058172547388229,0.008976235805874087
0.0015346901372731078,0.015982537585651463,0.008557884285653678,0.0034512974828919815
0.010070565847290817,0.0057366499827601935,0.014587042607784614,0.01504927085450451
0.007669053295939761,0.011223360855062085,0.0038881409837307713,0.001921399953747258
0.009055512321276745,0.006138330224005675,0.013835304646934733,0.009269864463292019
0.013697186020655318,0.004824514816381024,0.004569123037807365,0.00031002565723289643
0.007287939094559302,0.008925001455475047,0.0031049249996521634,0.011638967957845876
0.002128538821408014,0.0027305316620611555,0.007774747866048844,0.0036951321118114627
0.007597372844395414,0.009146827997445532,0.014754051971617674,0.007367009142920773
0.007198547505965651,0.003774708279527543,0.009471516871452276,0.0013242866410905255
0.010606103329065043,0.0006485340815182354,0.021188029379923323,0.0017100054184243858
0.0022090737748614525,0.0055901813017698926,0.00902343904276729,0.009587167790643399
0.010785006178894002,0.0019394772732529858,0.011911563345490529,0.006912623850399132
0.008115195368289974,0.0047896439467765405,0.003430149571344718,0.00910105683642387
0.0022415826146587638,0.017999176119266755,0.0011381048376996879,0.007480506315875407
0.002661940401816984,0.01009523508195936,0.015973761888010012,0.012339657597107569
0.001393202813945843,0.012273711749554467,0.008992082882208353,0.010545981832618068
0.015069432879521834,0.003976162988164265,0.012012911370234435,0.003543772949016348
6.612789904093611e-5,0.007528904650597441,0.0075929299407384455,0.012709771429697092
0.005060598794651713,0.0014611265623613629,0.0014393305267579085,0.018764069047008013
0.015421266469516772,0.013968575274836227,0.005483335759600111,0.00913096952935237
0.003876570526173519,0.011257208901643294,0.013213578176510492,0.016523247957515978
0.015906296850064117,0.007894275267874689,0.009278207011430504,0.013957167860885515
0.012405932043406124,0.004061902528078729,0.0035783189841769613,0.000463226763464185
0.010723501010046765,0.011088302380795298,0.013777519908751415,0.007852280621314017
0.00131218395189047,0.009194241016936111,0.0029368572697535586,0.019973623364469572
0.006665133877566221,0.00533482347310386,0.0015154062458400512,0.014950223735486795
0.011544284777369391,0.00320717580445636,0.004609945152497141,0.0118839610312765
0.009563345222446203,0.00214379766830447,0.001581834844301054,0.018953385346724673
0.011826604779401739,0.0015222977046652113,0.004908529595808184,0.0075146035043944705
4.6970328867583826e-5,0.003937793493598931,0.004468335225036838,0.012728681205962461
0.01254381312223476,0.003674139337284568,0.010401098782706512,0.006427707326733662
0.0015133420608610861,0.0014492443176338178,0.013642363415134834,0.014482706948910467
0.006060578690650944,0.008365289507574808,0.000834168244283168,0.012170639085149357
0.017293560365723142,0.017758842237333403,0.001641829732826049,0.010788126394856608
0.00857593856982636,0.004924648611361352,0.017615508728022054,0.0017245189487918244
0.005760527499761496,0.0018282654629616236,0.01874736294571724,0.009493312660214217
0.010298849940863929,0.000888351049423951,0.006432130959852607,0.002111364179686775
0.00953361183968765,0.026377465364993254,0.015885832939882723,0.03005793556109592
