ss1,ss2,ss3,ss4,ss5,ss6,ss7,ss8
0.045429422150515125,0.012759009435374913,0.0021768070946105245,0.02736524294309017,0.004088212854379882,0.03225539747556932,0.009167399535279895,0.011429739859372061
0.03252022355950633,0.028368965901304426,0.0074504430176852016,0.0003383874467448146,0.030158340242370324,0.0027365398690009824,0.009199725433991092,0.05839303873096094
0.0434169720393524,0.02592479063582437,0.05889091467593684,0.027597022347643958,0.016396207512209552,0.0035643671779680467,0.025693349906729907,0.0006128728777472652
0.03844775392873855,0.007850864698311947,0.040990496673945054,0.015682546545851106,0.010269230321497234,0.03278457941283108,0.00750481229133515,0.0015551097789237934
0.0019548466723806656,0.0013746799165960542,0.015358011639424756,0.036593075939805236,0.025951240150016455,0.050165725716219974,0.01925549054281795,0.008745016878900783
0.009449636194967451,0.002672697331048884,0.00038023600450738226,0.00699178131536139,0.003939468292059736,0.0030729567921422563,0.004836246426799731,0.028669539512354455
0.013372989679932256,0.01860739731647129,0.01951110673299765,0.03359652760750484,0.019281421549644486,0.0023588702226880107,0.01952341553579206,0.011772987082361738
0.008441718688066611,0.027409683798339687,0.027969663804227024,0.007232758546686851,0.007812970968350093,0.03015088254476247,0.004615150529721564,0.011460737315031127
0.00412502246098348,0.002758778630900917,0.026247458751980052,0.014492681357996001,0.005253958550069521,0.009445347886325306,0.014269329812754245,0.026139244697908955
0.025415140119894215,0.027847408282621496,0.006669257054199049,0.0019644268562236575,0.039093347702896075,0.00271630925357862,0.002603091055775407,0.006031363110639575
0.005052178718987371,0.03219483028790144,0.02983627336643738,0.022090135580595922,0.02563077419241791,0.024634998073896144,0.010441541453771234,0.00113527549567454
0.002897949772013169,0.0091928218465713,0.022876998802194144,0.027079912337496584,0.013387302323389904,0.005147224602395052,0.024678931499105536,0.0074542549703148575
0.008884427384243608,0.03512217005071328,0.03139486057304664,0.004768792925701943,0.013246570458272319,0.018964136134849725,0.008628284436721605,0.014930311016946331
0.05077485383960891,0.023482574746203487,0.025279846634018322,0.008893938950822211,0.02991846722219567,0.03918586340463536,0.0006511239618426699,0.04609078924657437
0.024885387297924007,0.014418343765370215,0.02640772735783116,0.001982164470467834,0.04476816551960669,0.010253590434081028,0.006295187917203826,0.012583818508154893
0.03371220701774327,0.009822655207466686,0.004073674277829622,0.0006547181518013864,0.036575747134023354,0.035444793914986325,0.002784643222122296,0.0001083361434929327
0.008987761603743429,0.026899976059676266,0.038995055471524515,0.010550843776762152,0.008363216261346607,0.015596307944699702,0.007756140145023432,0.00863580420986464
0.017824515721183022,0.009753173422916485,0.028767732990257262,0.005432142345628357,0.004209045569434087,0.020516535236815056,0.023587319440104473,0.030099549266244408
0.0012632799190796526,0.029086470510468747,0.039314581730928694,0.027260101183849517,0.00331115886728388,0.006293844010613835,0.006580473445767705,0.011138413711208337
0.0169758070764351,0.023453094158333763,0.005729530770342839,0.02043872219337662,0.025337410822483617,0.03528069212632814,0.00342135233566455,0.03084881664514369
0.0015401131742832392,0.03638016316683795,0.02595470735869392,0.0354033112271037,0.0066285310399219486,0.019995708703424948,0.007573207034243313,0.03928787546736149
0.0027312066236497923,0.02047805548735747,0.022752966261739404,0.024849561413814728,0.02701645136870289,0.002897510980962824,0.006959239415285394,0.022975754657555747
0.02338951747607534,0.015010503779220478,0.004695487205497417,0.007524778898505471,0.0522335467990834,0.017280512567915483,0.0048968125437777186,0.012237823413492572
0.0007097537773424899,0.005798069488936409,0.027299562106396908,0.005567502420269384,0.011337638572499307,0.017405705760915352,0.005983922215140977,0.01906385694592066
0.02881939412286905,0.05020043590213974,0.013207941414311341,0.0027566366421599704,0.0030148287932858487,0.01574154905304794,0.008573502985927779,0.005907817706756639
0.004266885798566926,0.03818305998346998,0.014741417325608778,0.003040783843764409,0.01330653524069329,0.04034802303826758,0.010381351959246441,0.029457000280512655
0.009525208664513266,0.04413843632425664,0.005373300734352283,0.010384744091907764,0.023315288443213424,0.023817841810681962,0.004083328755163768,0.00537063952313775
0.005257093026921189,0.012844192156273464,0.04101976962529675,0.0023368694033383897,0.01420903477211834,0.026913652405163288,0.00902250550458632,0.005098744457812394
0.0197158664240645,0.03861241584747857,0.011071193234540885,0.0013929674353168565,0.021919299079421577,0.031263563874854884,0.008408369115074107,0.025572642162601588
0.011021433407082748,0.02717758234248545,0.027674084242776318,0.044355896424658724,0.016095458571030286,0.003609972711054814,0.00408715925364423,0.026013232678286848
0.03440423966590531,0.027055069294027026,0.015041314822648633,0.005532508264007542,0.018889698139195533,0.026661985634776765,0.0367443867420562,0.026122089527722506
0.012534416740965941,0.02447584578501834,0.03512229420004652,0.021267305985174574,0.012052689222649434,0.0004583385683898396,0.004055747376993657,0.00573575966062503
0.005152060408688737,0.0002188230014470951,0.0018184877539956907,0.014620801194378941,0.021226723965382933,0.0012257666605493187,0.014272733577587128,0.01597915800419249
